Timestamp,current,js_201_out,speed
143444513,5,0,0
143445515,63,0,0
143446509,63,0,0
143447514,17,0,0
143448515,-52,0,0
143449513,132,0,0
143450515,-64,0,0
143451515,-6,0,0
143452516,5,0,0
143453515,5,0,0
143454516,142,0,0
143455515,-52,0,0
143456651,5,0,0
143457517,-52,0,0
143458534,5,0,0
143459652,5,0,0
143460517,-52,0,0
143461514,5,0,0
143462652,73,0,0
143463527,73,0,0
143464516,5,0,0
143465510,-52,0,0
143466512,-64,0,0
143467511,63,0,0
143468509,73,0,0
143469539,5,0,0
143470577,142,0,0
143471516,73,0,0
143472652,-52,0,0
143473513,17,0,0
143474510,-64,0,0
143475512,-52,0,0
143476514,-40,0,0
143477536,-120,0,0
143478577,17,0,0
143479541,-64,0,0
143480540,5,0,0
143481513,17,0,0
143482537,-52,0,0
143483516,5,0,0
143484539,5,0,0
143485513,-109,0,0
143486510,-52,0,0
143487516,5,0,0
143488510,-52,0,0
143489510,-64,0,0
143490512,142,0,0
143491661,17,0,0
143492515,-120,0,0
143493509,73,0,0
143494511,5,0,0
143495553,5,0,0
143496514,-52,0,0
143497513,17,0,0
143498516,-178,0,0
143499541,17,0,0
143500516,-52,0,0
143501579,-52,0,0
143502517,86,0,0
143503511,17,0,0
143504654,-120,0,0
143505540,5,0,0
143506513,63,0,0
143507513,5,0,0
143508511,-52,0,0
143509659,142,0,0
143510510,73,0,0
143511511,73,0,0
143512654,5,0,0
143513529,-189,0,0
143514513,-52,0,0
143515511,-120,0,0
143516537,-6,0,0
143517511,-52,0,0
143518536,-64,0,0
143519510,5,0,0
143520512,5,0,0
143521516,-251,0,0
143522536,5,0,0
143523516,-6,0,0
143524510,63,0,0
143525512,-109,0,0
143526509,142,0,0
143527512,5,0,0
143528537,5,0,0
143529513,132,0,0
143530514,-133,0,0
143531512,-120,0,0
143532514,-120,0,0
143533513,63,0,0
143534514,73,0,0
143535513,-109,0,0
143536504,-52,0,0
143537514,-109,0,0
143538512,73,0,0
143539514,132,0,0
143540513,142,0,0
143541512,17,0,0
143542514,-6,0,0
143543515,5,0,0
143544514,-52,0,0
143545515,73,0,0
143546516,5,0,0
143547511,5,0,0
